player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate,batting_points,bowling_points,total_points
TH David,659,417,38,46,0,0,0,158.0335731414868,,803,0,803
DP Conway,924,669,100,30,0,0,0,138.11659192825113,,1096,0,1096
Tilak Varma,1156,830,90,58,0,23,28,139.27710843373492,7.304347826086956,1374,0,1374
R Powell,360,254,21,28,1,21,35,141.73228346456693,10.0,451,25,476
OF Smith,51,50,1,5,7,95,179,102.0,11.305263157894736,68,177,245
Akash Deep,19,12,2,1,8,175,324,158.33333333333331,11.108571428571429,23,202,225
PBB Rajapaksa,277,201,22,15,0,0,0,137.81094527363186,,341,0,341
RA Bawa,11,14,1,0,0,0,0,78.57142857142857,,12,0,12
A Badoni,634,505,46,24,2,25,37,125.54455445544556,8.879999999999999,740,50,790
PVD Chameera,43,32,3,3,11,297,442,134.375,8.929292929292929,56,279,335
MS Wade,183,185,23,2,0,0,0,98.91891891891892,,218,0,218
Mohsin Khan,25,27,2,1,27,507,698,92.5925925925926,8.2603550295858,29,679,708
A Manohar,231,181,21,10,0,0,0,127.6243093922652,,284,0,284
R Shepherd,115,68,7,10,6,133,260,169.11764705882354,11.729323308270676,156,152,308
D Pretorius,44,28,3,3,7,166,242,157.14285714285714,8.74698795180723,59,179,238
Mukesh Choudhary,6,6,1,0,16,298,452,100.0,9.100671140939598,7,402,409
JM Sharma,730,501,53,45,0,0,0,145.70858283433134,,887,0,887
VG Arora,9,17,0,0,20,418,598,52.94117647058824,8.583732057416267,9,504,513
D Brevis,230,176,17,16,1,3,8,130.6818181818182,16.0,291,25,316
DG Nalkande,12,12,0,1,6,89,150,100.0,10.112359550561797,14,152,166
B Sai Sudharsan,1034,770,95,32,0,0,0,134.28571428571428,,1205,0,1205
M Theekshana,7,7,0,1,25,631,814,100.0,7.740095087163232,9,631,640
Ramandeep Singh,170,106,8,13,6,45,64,160.37735849056605,8.533333333333333,218,154,372
HE van der Dussen,22,25,2,0,0,0,0,88.0,,24,0,24
