player,runs,balls_faced,fours,sixes,wickets,balls_bowled,runs_given,strike_rate,economy_rate
IC Porel,0,0,0,0,1,26,42,,9.692307692307693
AU Rashid,22,17,2,1,2,60,91,129.41176470588235,9.1
TH David,659,417,38,46,0,0,0,158.0335731414868,
DP Conway,924,669,100,30,0,0,0,138.11659192825113,
Tilak Varma,1156,830,90,58,0,23,28,139.27710843373492,7.304347826086956
R Powell,360,254,21,28,1,21,35,141.73228346456693,10.0
OF Smith,51,50,1,5,7,95,179,102.0,11.305263157894736
Akash Deep,19,12,2,1,8,175,324,158.33333333333331,11.108571428571429
PBB Rajapaksa,277,201,22,15,0,0,0,137.81094527363186,
RA Bawa,11,14,1,0,0,0,0,78.57142857142857,
A Badoni,634,505,46,24,2,25,37,125.54455445544555,8.879999999999999
PVD Chameera,43,32,3,3,11,297,442,134.375,8.929292929292929
MS Wade,183,185,23,2,0,0,0,98.91891891891892,
Mohsin Khan,25,27,2,1,27,507,698,92.5925925925926,8.2603550295858
A Manohar,231,181,21,10,0,0,0,127.62430939226519,
R Shepherd,115,68,7,10,6,133,260,169.11764705882354,11.729323308270676
D Pretorius,44,28,3,3,7,166,242,157.14285714285714,8.74698795180723
Mukesh Choudhary,6,6,1,0,16,298,452,100.0,9.100671140939598
JM Sharma,730,501,53,45,0,0,0,145.70858283433134,
VG Arora,9,17,0,0,20,418,598,52.94117647058824,8.583732057416267
D Brevis,230,176,17,16,1,3,8,130.6818181818182,16.0
DG Nalkande,12,12,0,1,6,89,150,100.0,10.112359550561797
B Sai Sudharsan,1034,770,95,32,0,0,0,134.28571428571428,
M Theekshana,7,7,0,1,25,631,814,100.0,7.740095087163232
Ramandeep Singh,170,106,8,13,6,45,64,160.37735849056605,8.533333333333333
HE van der Dussen,22,25,2,0,0,0,0,88.0,
KR Sen,0,3,0,0,14,255,396,0.0,9.31764705882353
SS Prabhudessai,126,113,11,4,0,0,0,111.50442477876106,
Yash Dayal,0,1,0,0,31,615,933,0.0,9.102439024390243
Shashank Singh,423,272,33,25,1,19,25,155.51470588235296,7.894736842105264
Aman Hakim Khan,115,109,8,6,0,6,13,105.50458715596329,13.0
OC McCoy,8,5,0,1,11,180,255,160.0,8.5
HR Shokeen,66,67,9,0,5,213,320,98.50746268656717,9.014084507042254
R Dhawan,210,188,18,7,27,693,922,111.70212765957446,7.982683982683983
DJ Mitchell,351,274,28,10,1,51,97,128.1021897810219,11.411764705882353
B Indrajith,21,31,2,0,0,0,0,67.74193548387096,
Harshit Rana,2,3,0,0,27,403,590,66.66666666666666,8.784119106699752
K Kartikeya,9,13,1,0,10,241,334,69.23076923076923,8.315352697095436
Simarjeet Singh,7,8,0,0,10,193,265,87.5,8.238341968911918
SA Abbott,22,18,1,2,1,59,104,122.22222222222223,10.576271186440678
Fazalhaq Farooqi,3,13,0,0,6,162,229,23.076923076923077,8.481481481481481
KS Sharma,16,25,1,0,0,0,0,64.0,
R Sai Kishore,13,6,0,2,13,191,259,216.66666666666666,8.136125654450263
T Stubbs,405,239,26,26,4,25,29,169.4560669456067,6.959999999999999
PH Solanki,0,0,0,0,2,36,39,,6.5
M Pathirana,0,0,0,0,38,503,617,,7.359840954274354
R Sanjay Yadav,0,2,0,0,0,14,23,0.0,9.857142857142856
A Tomar,4,8,1,0,0,0,0,50.0,
PN Mankad,97,75,13,2,0,0,0,129.33333333333331,
J Little,0,0,0,0,13,236,341,,8.669491525423728
RS Hangargekar,0,0,0,0,3,43,60,,8.372093023255813
Sikandar Raza,182,143,12,8,3,88,146,127.27272727272727,9.954545454545455
Rahmanullah Gurbaz,289,228,24,19,0,0,0,126.75438596491229,
KR Mayers,379,276,38,22,0,46,59,137.31884057971016,7.695652173913043
Mukesh Kumar,10,20,0,0,31,420,707,50.0,10.1
RR Rossouw,473,321,45,25,0,0,0,147.35202492211837,
HC Brook,190,159,23,4,0,0,0,119.49685534591194,
NA Saini,0,0,0,0,0,15,35,,14.0
RJW Topley,3,6,0,0,5,107,182,50.0,10.205607476635514
C Green,707,472,62,32,20,462,675,149.78813559322032,8.766233766233766
MG Bracewell,58,49,6,1,6,66,95,118.36734693877551,8.636363636363637
N Wadhera,350,261,32,18,0,12,13,134.09961685823754,6.5
Arshad Khan,96,67,5,6,6,153,282,143.28358208955223,11.058823529411764
Yash Thakur,0,0,0,0,27,432,702,,9.75
Abishek Porel,360,244,37,15,0,0,0,147.54098360655738,
Dhruv Jurel,347,237,29,16,0,0,0,146.41350210970467,
Suyash Sharma,0,0,0,0,11,264,381,,8.659090909090908
SSB Magala,0,0,0,0,1,37,52,,8.432432432432432
MW Short,117,99,15,4,0,25,25,118.18181818181819,6.0
Mohit Rathee,1,2,0,0,0,12,29,50.0,14.5
WD Parnell,65,86,4,1,40,758,968,75.5813953488372,7.6622691292875995
YV Dhull,16,23,1,0,0,0,0,69.56521739130434,
Vijaykumar Vyshak,14,13,0,1,17,243,396,107.6923076923077,9.777777777777779
Yudhvir Singh,22,16,1,2,4,74,125,137.5,10.135135135135135
Atharva Taide,247,177,27,8,0,1,4,139.54802259887003,24.0
Harpreet Singh,123,119,10,3,0,0,0,103.36134453781514,
Arjun Tendulkar,13,9,0,1,4,83,117,144.44444444444443,8.457831325301205
D Jansen,0,0,0,0,1,28,53,,11.357142857142856
Noor Ahmad,13,18,2,0,24,513,672,72.22222222222221,7.859649122807017
Naveen-ul-Haq,18,26,2,0,26,407,602,69.23076923076923,8.874692874692876
Liton Das,4,4,1,0,0,0,0,100.0,
PD Salt,653,385,74,34,0,0,0,169.6103896103896,
Mayank Dagar,0,1,0,0,2,138,205,0.0,8.91304347826087
Abdul Basith,1,1,0,0,0,0,0,100.0,
D Wiese,148,105,12,7,17,307,447,140.95238095238096,8.736156351791532
Gurnoor Brar,0,0,0,0,0,21,42,,12.0
AJ Hosein,16,11,1,1,1,24,41,145.45454545454547,10.25
Akash Madhwal,4,5,0,0,22,279,431,80.0,9.268817204301076
R Goyal,0,0,0,0,0,24,34,,8.5
Vivrant Sharma,69,49,9,2,0,21,37,140.81632653061226,10.571428571428571
JE Root,10,15,1,0,0,12,15,66.66666666666666,7.5
MD Shanaka,26,26,2,1,0,0,0,100.0,
Sanvir Singh,25,22,2,1,0,0,0,113.63636363636364,
Nithish Kumar Reddy,303,221,15,21,4,118,208,137.10407239819006,10.576271186440678
H Sharma,0,0,0,0,0,30,62,,12.4
R Ravindra,222,146,22,12,0,12,7,152.05479452054794,3.5
